t,prey,predator,dprey_dt,dpredator_dt,prey_pct_change,predator_pct_change
0.0,40.0,9.0,-3.2,0.9000000000000004,-8.0,10.000000000000004
0.1,39.677732019054936,9.088990237143179,-3.244837177157978,0.8796081183887825,-8.177980474286356,9.677732019054936
0.2,39.35113789515877,9.175882726251176,-3.286514739894432,0.8580494468298019,-8.351765452502354,9.351137895158775
0.3,39.02053587742845,9.260562174604983,-3.324988383843767,0.8353523334118109,-8.521124349209968,9.02053587742845
0.4,38.68624820359512,9.34291631164816,-3.360222767197251,0.8115489002839338,-8.685832623296319,8.68624820359512
0.5,38.34860018549613,9.422836266192155,-3.39219159316231,0.7866749259983155,-8.845672532384311,8.348600185496137
0.6,38.00791932148964,9.500216918207974,-3.4208776311290277,0.7607697061766037,-9.000433836415947,8.007919321489638
0.7,37.66453436579186,9.574957251506675,-3.446272692428036,0.7338758890516086,-9.149914503013349,7.664534365791859
0.8,37.31877446910067,9.646960666011953,-3.4683775412336377,0.7060392942682667,-9.293921332023904,7.31877446910067
0.9,36.97096821728331,9.716135308386768,-3.4872017718954957,0.677308704295883,-9.432270616773534,6.970968217283306
1.0,36.6214428710377,9.782394322077632,-3.502763609054822,0.6477356514560064,-9.564788644155266,6.6214428710377025
1.1,36.270523370595285,9.845656152960181,-3.515089694836222,0.6173741700598212,-9.691312305920363,6.270523370595289
1.2,35.91853162632679,9.905844752781562,-3.524214798132676,0.5862805545482095,-9.81168950556312,5.918531626326789
1.3,35.565785706794365,9.962889799087572,-3.530181501615687,0.5545130964212905,-9.925779598175145,5.5657857067943715
1.4,35.21259895378939,10.016726907059912,-3.5330398527796976,0.5221318019613448,-10.03345381411982,5.212598953789385
1.5,34.85927943311326,10.067297748936348,-3.532846964019159,0.48919812898433834,-10.134595497872697,4.8592794331132625
1.6,34.50612916149455,10.114550205467918,-3.529666599856489,0.4557746963625968,-10.229100410935835,4.506129161494551
1.7,34.153443378935464,10.158438476567358,-3.523568728663308,0.42192499030822006,-10.316876953134717,4.153443378935469
1.8,33.8015101270426,10.198923131641788,-3.514629057678118,0.38771309569865275,-10.397846263283576,3.801510127042599
1.9,33.450609609753215,10.23597117003785,-3.5029285507371783,0.3532034048448951,-10.471942340075701,3.45060960975322
2.0,33.1010136048802,10.269556032739777,-3.488552918627958,0.3184603297360562,-10.539112065479554,3.1010136048802037
2.1,32.752985182932086,10.299657593087481,-3.471592132420156,0.28354804743043793,-10.599315186174962,2.7529851829320866
2.2,32.406778231695654,10.326262127546872,-3.4521399114258196,0.24853022903363087,-10.652524255093745,2.406778231695656
2.3,32.062637034799316,10.3493622223024,-3.4302931860269856,0.21346977806273904,-10.698724444604798,2.062637034799318
2.4,31.720796084328267,10.368956719728626,-3.4061516258419147,0.178428601218783,-10.737913439457252,1.7207960843282681
2.5,31.381479802790903,10.385050607415858,-3.379817137472552,0.1434673766510639,-10.770101214831715,1.3814798027909014
